Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2025-10-17 03:45:00+00:00,25670.150390625,25677.0,25508.94921875,25541.30078125,0
2025-10-17 04:45:00+00:00,25750.650390625,25757.94921875,25665.099609375,25670.150390625,0
2025-10-17 05:45:00+00:00,25760.599609375,25776.69921875,25710.400390625,25751.05078125,0
2025-10-17 06:45:00+00:00,25668.75,25780.94921875,25652.80078125,25763.94921875,0
2025-10-17 07:45:00+00:00,25682.099609375,25709.099609375,25620.44921875,25670.25,0
2025-10-17 08:45:00+00:00,25708.349609375,25751.69921875,25658.25,25683.94921875,0
2025-10-17 09:45:00+00:00,25704.69921875,25717.349609375,25696.0,25708.30078125,0
2025-10-20 03:45:00+00:00,25856.55078125,25924.650390625,25788.55078125,25816.349609375,0
2025-10-20 04:45:00+00:00,25873.80078125,25892.94921875,25816.349609375,25859.19921875,0
2025-10-20 05:45:00+00:00,25855.25,25878.25,25822.349609375,25874.900390625,0
2025-10-20 06:45:00+00:00,25898.400390625,25910.25,25833.849609375,25854.55078125,0
2025-10-20 07:45:00+00:00,25861.05078125,25901.5,25837.650390625,25897.900390625,0
2025-10-20 08:45:00+00:00,25846.30078125,25884.150390625,25796.75,25860.5,0
2025-10-20 09:45:00+00:00,25850.69921875,25861.599609375,25839.55078125,25845.150390625,0
2025-10-21 07:45:00+00:00,25896.900390625,25932.5,25873.80078125,25901.19921875,0
2025-10-21 08:45:00+00:00,25868.599609375,25908.099609375,25826.25,25897.0,0
2025-10-23 03:45:00+00:00,26095.900390625,26096.69921875,25991.849609375,26058.5,0
2025-10-23 04:45:00+00:00,26058.0,26099.599609375,26044.0,26095.900390625,0
2025-10-23 05:45:00+00:00,26077.099609375,26087.05078125,26041.900390625,26057.05078125,0
2025-10-23 06:45:00+00:00,26059.599609375,26103.80078125,26038.44921875,26076.650390625,0
2025-10-23 07:45:00+00:00,25958.55078125,26079.30078125,25946.69921875,26059.05078125,0
2025-10-23 08:45:00+00:00,25865.349609375,25996.849609375,25863.5,25958.19921875,0
2025-10-23 09:45:00+00:00,25870.30078125,25900.30078125,25862.599609375,25864.5,0
2025-10-24 03:45:00+00:00,25876.19921875,25939.30078125,25840.400390625,25939.30078125,0
2025-10-24 04:45:00+00:00,25827.30078125,25875.75,25796.5,25875.75,0
2025-10-24 05:45:00+00:00,25850.44921875,25857.849609375,25783.75,25826.30078125,0
2025-10-24 06:45:00+00:00,25825.94921875,25874.69921875,25806.0,25850.25,0
2025-10-24 07:45:00+00:00,25755.400390625,25831.099609375,25718.650390625,25826.400390625,0
2025-10-24 08:45:00+00:00,25799.5,25807.75,25737.94921875,25755.400390625,0
2025-10-24 09:45:00+00:00,25797.44921875,25809.25,25790.150390625,25798.94921875,0
2025-10-27 03:45:00+00:00,25961.849609375,25974.849609375,25828.099609375,25851.94921875,0
2025-10-27 04:45:00+00:00,25976.30078125,25981.30078125,25946.75,25962.75,0
2025-10-27 05:45:00+00:00,25996.25,26004.900390625,25946.25,25975.650390625,0
2025-10-27 06:45:00+00:00,25970.599609375,26001.099609375,25956.30078125,25996.849609375,0
2025-10-27 07:45:00+00:00,25938.5,25971.0,25918.400390625,25970.650390625,0
2025-10-27 08:45:00+00:00,25963.80078125,25984.900390625,25926.75,25939.30078125,0
2025-10-27 09:45:00+00:00,25974.0,25981.0,25958.05078125,25963.75,0
2025-10-28 03:45:00+00:00,25905.25,26040.900390625,25886.55078125,25937.099609375,0
2025-10-28 04:45:00+00:00,25852.30078125,25912.5,25840.19921875,25905.099609375,0
2025-10-28 05:45:00+00:00,25843.650390625,25899.400390625,25826.400390625,25852.25,0
2025-10-28 06:45:00+00:00,25926.349609375,25949.05078125,25829.650390625,25843.94921875,0
2025-10-28 07:45:00+00:00,25873.69921875,25956.0,25841.55078125,25926.05078125,0
2025-10-28 08:45:00+00:00,25943.0,25948.75,25810.5,25872.650390625,0
2025-10-28 09:45:00+00:00,25965.400390625,25968.150390625,25940.55078125,25941.849609375,0
2025-10-29 03:45:00+00:00,25997.69921875,26024.80078125,25960.55078125,25979.900390625,0
2025-10-29 04:45:00+00:00,26022.44921875,26064.0,25987.650390625,25998.19921875,0
2025-10-29 05:45:00+00:00,26054.75,26063.650390625,26007.900390625,26022.30078125,0
2025-10-29 06:45:00+00:00,26080.25,26084.30078125,26048.94921875,26055.19921875,0
2025-10-29 07:45:00+00:00,26052.849609375,26097.849609375,26038.900390625,26080.0,0
2025-10-29 08:45:00+00:00,26043.55078125,26082.400390625,26015.30078125,26053.150390625,0
2025-10-29 09:45:00+00:00,26068.30078125,26075.5,26042.80078125,26044.80078125,0
2025-10-30 03:45:00+00:00,25959.44921875,26028.30078125,25892.75,26006.400390625,0
2025-10-30 04:45:00+00:00,25956.099609375,25967.400390625,25911.94921875,25959.5,0
2025-10-30 05:45:00+00:00,25912.25,25975.0,25902.25,25956.30078125,0
2025-10-30 06:45:00+00:00,25923.05078125,25927.599609375,25896.900390625,25911.849609375,0
2025-10-30 07:45:00+00:00,25889.349609375,25932.349609375,25864.44921875,25924.0,0
2025-10-30 08:45:00+00:00,25873.75,25917.80078125,25845.55078125,25887.75,0
